Datos de la imagen:
        Identificador de bitmap: BM
        Desplazamiento a los datos: 1078
        Dimensiones de la imagen, ancho: 640, alto: 640
        Bits por pixel: 8
tama±o 409600



tam char : 1 byte
imagen leida
DBC
codigoShader cargado
devices 21415312
antes de la construccion
s; N ; r ;logN;lor(1/r)
2;14640136,000000;0,003125;7,165545;2,505150
3;6698515,500000;0,004688;6,825979;2,329059
4;3401495,000000;0,006250;6,531670;2,204120
5;1888097,000000;0,007813;6,276024;2,107210
6;1114607,000000;0,009375;6,047122;2,028029
7;718202,187500;0,010937;5,856247;1,961082
8;491776,875000;0,012500;5,691768;1,903090
9;345922,531250;0,014062;5,538979;1,851938
10;254334,500000;0,015625;5,405405;1,806180
11;190010,906250;0,017188;5,278779;1,764787
12;145462,359375;0,018750;5,162751;1,726999
13;115283,843750;0,020312;5,061769;1,692237
14;89547,781250;0,021875;4,952055;1,660052
15;72966,468750;0,023438;4,863123;1,630089
16;63131,718750;0,025000;4,800248;1,602060
17;50116,066406;0,026563;4,699977;1,575731
18;42485,761719;0,028125;4,628243;1,550907
19;35696,847656;0,029687;4,552630;1,527426
20;32576,250000;0,031250;4,512901;1,505150
21;26900,974609;0,032812;4,429768;1,483961
22;24343,460938;0,034375;4,386382;1,463757
23;19706,835938;0,035937;4,294617;1,444452
24;17622,210938;0,037500;4,246060;1,425969
25;15690,429688;0,039063;4,195635;1,408240
26;13911,468750;0,040625;4,143373;1,391207
27;12268,433594;0,042188;4,088789;1,374816
28;10756,539063;0,043750;4,031672;1,359022
29;10760,664063;0,045313;4,031839;1,343782
30;9379,289063;0,046875;3,972170;1,329059
31;8122,109375;0,048437;3,909669;1,314818
32;8121,406250;0,050000;3,909631;1,301030
33;6985,171875;0,051562;3,844177;1,287666
34;5954,203125;0,053125;3,774824;1,274701
35;5956,382813;0,054688;3,774983;1,262112
36;5034,457031;0,056250;3,701953;1,249877
37;5034,324219;0,057813;3,701941;1,237978
38;4212,687500;0,059375;3,624559;1,226396
39;4213,125000;0,060938;3,624604;1,215115
40;4213,062500;0,062500;3,624598;1,204120
41;3486,620850;0,064062;3,542405;1,193396
42;3487,089600;0,065625;3,542463;1,182931
43;2848,452881;0,067188;3,454609;1,172711
44;2848,015381;0,068750;3,454542;1,162727
45;2848,015381;0,070313;3,454542;1,152967
46;2293,281250;0,071875;3,360457;1,143422
47;2292,875000;0,073437;3,360380;1,134082
48;2292,468750;0,075000;3,360303;1,124939
49;2292,824219;0,076563;3,360371;1,115984
50;1815,046875;0,078125;3,258888;1,107210
51;1815,421875;0,079687;3,258978;1,098610
52;1816,125000;0,081250;3,259146;1,090177
53;1815,750000;0,082813;3,259056;1,081904
54;1409,332031;0,084375;3,149013;1,073786
55;1408,644531;0,085938;3,148801;1,065817
56;1408,644531;0,087500;3,148801;1,057992
57;1408,644531;0,089062;3,148801;1,050305
58;1408,644531;0,090625;3,148801;1,042752
59;1067,656250;0,092188;3,028431;1,035328
60;1067,656250;0,093750;3,028431;1,028029
61;1067,968750;0,095312;3,028558;1,020850
62;1067,968750;0,096875;3,028558;1,013788
63;1068,281250;0,098438;3,028686;1,006839
64;1068,281250;0,100000;3,028686;1,000000
65;787,464844;0,101563;2,896231;0,993267
66;787,746094;0,103125;2,896386;0,986636
67;786,902344;0,104687;2,895921;0,980105
68;786,621094;0,106250;2,895766;0,973671
69;786,621094;0,107813;2,895766;0,967331
70;786,621094;0,109375;2,895766;0,961082
71;786,621094;0,110937;2,895766;0,954922
72;560,000000;0,112500;2,748188;0,948847
73;560,250000;0,114063;2,748382;0,942857
74;560,250000;0,115625;2,748382;0,936948
75;560,500000;0,117188;2,748576;0,931119
76;560,500000;0,118750;2,748576;0,925366
77;560,750000;0,120312;2,748769;0,919689
78;560,500000;0,121875;2,748576;0,914085
79;560,250000;0,123438;2,748382;0,908553
80;560,000000;0,125000;2,748188;0,903090
81;381,910126;0,126563;2,581961;0,897695
82;381,910126;0,128125;2,581961;0,892366
83;381,910126;0,129688;2,581961;0,887102
84;381,910126;0,131250;2,581961;0,881901
85;381,691376;0,132813;2,581712;0,876761
86;381,691376;0,134375;2,581712;0,871682
87;381,691376;0,135937;2,581712;0,866661
88;381,691376;0,137500;2,581712;0,861697
89;381,472626;0,139062;2,581463;0,856790
90;381,691376;0,140625;2,581712;0,851937
91;381,691376;0,142188;2,581712;0,847139
92;245,906250;0,143750;2,390769;0,842392
93;245,906250;0,145313;2,390769;0,837697
94;245,718750;0,146875;2,390438;0,833052
95;245,718750;0,148438;2,390438;0,828456
96;245,718750;0,150000;2,390438;0,823909
97;245,718750;0,151562;2,390438;0,819408
98;245,718750;0,153125;2,390438;0,814954
99;245,718750;0,154687;2,390438;0,810545
100;245,718750;0,156250;2,390438;0,806180
101;245,718750;0,157813;2,390438;0,801859
102;245,718750;0,159375;2,390438;0,797580
103;245,718750;0,160938;2,390438;0,793343
104;245,718750;0,162500;2,390438;0,789147
105;245,718750;0,164063;2,390438;0,784991
106;245,718750;0,165625;2,390438;0,780874
107;146,699219;0,167187;2,166428;0,776796
108;146,699219;0,168750;2,166428;0,772756
109;146,699219;0,170312;2,166428;0,768753
110;146,542969;0,171875;2,165965;0,764787
111;146,542969;0,173438;2,165965;0,760857
112;146,542969;0,175000;2,165965;0,756962
113;146,542969;0,176563;2,165965;0,753102
114;146,542969;0,178125;2,165965;0,749275
115;146,542969;0,179688;2,165965;0,745482
116;146,542969;0,181250;2,165965;0,741722
117;146,542969;0,182812;2,165965;0,737994
118;146,542969;0,184375;2,165965;0,734298
119;146,542969;0,185937;2,165965;0,730633
120;146,386719;0,187500;2,165502;0,726999
121;146,542969;0,189063;2,165965;0,723395
122;146,699219;0,190625;2,166428;0,719820
123;146,699219;0,192188;2,166428;0,716275
124;146,699219;0,193750;2,166428;0,712758
125;146,699219;0,195313;2,166428;0,709270
126;146,699219;0,196875;2,166428;0,705809
127;146,699219;0,198437;2,166428;0,702376
128;146,699219;0,200000;2,166428;0,698970
129;78,500000;0,201562;1,894870;0,695590
130;78,500000;0,203125;1,894870;0,692237
131;78,500000;0,204688;1,894870;0,688909
132;78,500000;0,206250;1,894870;0,685606
133;78,500000;0,207813;1,894870;0,682328
134;78,500000;0,209375;1,894870;0,679075
135;78,500000;0,210938;1,894870;0,675846
136;78,500000;0,212500;1,894870;0,672641
137;78,500000;0,214062;1,894870;0,669459
138;78,500000;0,215625;1,894870;0,666301
139;78,500000;0,217187;1,894870;0,663165
140;78,500000;0,218750;1,894870;0,660052
141;78,500000;0,220313;1,894870;0,656961
142;78,500000;0,221875;1,894870;0,653892
143;78,500000;0,223438;1,894870;0,650844
144;78,500000;0,225000;1,894870;0,647817
145;78,500000;0,226563;1,894870;0,644812
146;78,375000;0,228125;1,894178;0,641827
147;78,375000;0,229687;1,894178;0,638863
148;78,375000;0,231250;1,894178;0,635918
149;78,375000;0,232812;1,894178;0,632994
150;78,375000;0,234375;1,894178;0,630089
151;78,375000;0,235938;1,894178;0,627203
152;78,375000;0,237500;1,894178;0,624336
153;78,375000;0,239063;1,894178;0,621489
154;78,375000;0,240625;1,894178;0,618659
155;78,375000;0,242188;1,894178;0,615848
156;78,250000;0,243750;1,893484;0,613055
157;78,250000;0,245312;1,893484;0,610280
158;78,375000;0,246875;1,894178;0,607523
159;78,375000;0,248437;1,894178;0,604783
160;78,375000;0,250000;1,894178;0,602060
161;35,425781;0,251563;1,549319;0,599354
162;35,425781;0,253125;1,549319;0,596665
163;35,425781;0,254687;1,549319;0,593992
164;35,425781;0,256250;1,549319;0,591336
165;35,425781;0,257813;1,549319;0,588696
166;35,425781;0,259375;1,549319;0,586072
167;35,425781;0,260938;1,549319;0,583463
168;35,425781;0,262500;1,549319;0,580871
169;35,425781;0,264062;1,549319;0,578293
170;35,425781;0,265625;1,549319;0,575731
171;35,425781;0,267188;1,549319;0,573184
172;35,425781;0,268750;1,549319;0,570652
173;35,425781;0,270312;1,549319;0,568134
174;35,425781;0,271875;1,549319;0,565631
175;35,425781;0,273438;1,549319;0,563142
176;35,425781;0,275000;1,549319;0,560667
177;35,425781;0,276563;1,549319;0,558207
178;35,425781;0,278125;1,549319;0,555760
179;35,425781;0,279687;1,549319;0,553327
180;35,425781;0,281250;1,549319;0,550907
181;35,425781;0,282813;1,549319;0,548501
182;35,425781;0,284375;1,549319;0,546109
183;35,519531;0,285937;1,550467;0,543729
184;35,519531;0,287500;1,550467;0,541362
185;35,519531;0,289063;1,550467;0,539008
186;35,519531;0,290625;1,550467;0,536667
187;35,519531;0,292188;1,550467;0,534338
188;35,519531;0,293750;1,550467;0,532022
189;35,519531;0,295312;1,550467;0,529718
190;35,519531;0,296875;1,550467;0,527426
191;35,519531;0,298438;1,550467;0,525147
192;35,519531;0,300000;1,550467;0,522879
193;35,519531;0,301562;1,550467;0,520623
194;35,519531;0,303125;1,550467;0,518378
195;35,519531;0,304688;1,550467;0,516145
196;35,519531;0,306250;1,550467;0,513924
197;35,519531;0,307813;1,550467;0,511714
198;35,519531;0,309375;1,550467;0,509515
199;35,519531;0,310937;1,550467;0,507327
200;35,519531;0,312500;1,550467;0,505150
201;35,519531;0,314063;1,550467;0,502984
202;35,519531;0,315625;1,550467;0,500829
203;35,519531;0,317187;1,550467;0,498684
204;35,519531;0,318750;1,550467;0,496550
205;35,519531;0,320313;1,550467;0,494426
206;35,519531;0,321875;1,550467;0,492313
207;35,519531;0,323438;1,550467;0,490210
208;35,519531;0,325000;1,550467;0,488117
209;35,519531;0,326562;1,550467;0,486034
210;35,519531;0,328125;1,550467;0,483961
211;35,519531;0,329688;1,550467;0,481898
212;35,519531;0,331250;1,550467;0,479844
213;35,519531;0,332812;1,550467;0,477800
214;11,843750;0,334375;1,073489;0,475766
215;11,843750;0,335938;1,073489;0,473742
216;11,843750;0,337500;1,073489;0,471726
217;11,843750;0,339063;1,073489;0,469720
218;11,843750;0,340625;1,073489;0,467723
219;11,843750;0,342187;1,073489;0,465736
220;11,843750;0,343750;1,073489;0,463757
221;11,843750;0,345313;1,073489;0,461788
222;11,843750;0,346875;1,073489;0,459827
223;11,843750;0,348437;1,073489;0,457875
224;11,843750;0,350000;1,073489;0,455932
225;11,843750;0,351563;1,073489;0,453997
226;11,843750;0,353125;1,073489;0,452072
227;11,843750;0,354688;1,073489;0,450154
228;11,843750;0,356250;1,073489;0,448245
229;11,843750;0,357812;1,073489;0,446345
230;11,843750;0,359375;1,073489;0,444452
231;11,843750;0,360938;1,073489;0,442568
232;11,843750;0,362500;1,073489;0,440692
233;11,843750;0,364062;1,073489;0,438824
234;11,843750;0,365625;1,073489;0,436964
235;11,843750;0,367188;1,073489;0,435112
236;11,843750;0,368750;1,073489;0,433268
237;11,843750;0,370313;1,073489;0,431432
238;11,843750;0,371875;1,073489;0,429603
239;11,843750;0,373437;1,073489;0,427782
240;11,843750;0,375000;1,073489;0,425969
241;11,843750;0,376563;1,073489;0,424163
242;11,843750;0,378125;1,073489;0,422365
243;11,843750;0,379687;1,073489;0,420574
244;11,843750;0,381250;1,073489;0,418790
245;11,843750;0,382813;1,073489;0,417014
246;11,843750;0,384375;1,073489;0,415245
