Datos de la imagen:
        Identificador de bitmap: BM
        Desplazamiento a los datos: 1078
        Dimensiones de la imagen, ancho: 640, alto: 640
        Bits por pixel: 8
tama±o 409600



tam char : 1 byte
s       ;r      ;N      ;y      ;x      ;D
2       ;0,003125       ;5296423        ;6,723983       ;2,505150       ;2,684064
4       ;0,006250       ;756553 ;5,878839       ;2,204120       ;2,667205
5       ;0,007813       ;380284 ;5,580108       ;2,107210       ;2,648103
8       ;0,012500       ;81576  ;4,911562       ;1,903090       ;2,580836
10      ;0,015625       ;40416  ;4,606554       ;1,806180       ;2,550440
16      ;0,025000       ;7958   ;3,900804       ;1,602060       ;2,434868
20      ;0,031250       ;3742   ;3,573104       ;1,505150       ;2,373919
32      ;0,050000       ;788    ;2,896526       ;1,301030       ;2,226333
40      ;0,062500       ;256    ;2,408240       ;1,204120       ;2,000000
64      ;0,100000       ;100    ;2,000000       ;1,000000       ;2,000000
80      ;0,125000       ;64     ;1,806180       ;0,903090       ;2,000000
128     ;0,200000       ;25     ;1,397940       ;0,698970       ;2,000000
160     ;0,250000       ;16     ;1,204120       ;0,602060       ;2,000000
320     ;0,500000       ;4      ;0,602060       ;0,301030       ;2,000000

tiempo total de ejecucion: 0,562000 segundos

y=D*x+C
Pendiente = D = 2,372998

C=-0,077377
E=0,004270
Presione una tecla para continuar , , ,
